source-airport code,target-city
het,hohhot
ctg,cartagena
gbe,gaborone
boi,boise id
kif,kingfisher l ont. on
lci,laconia nh
esf,alexandria la
aex,alexandria la
jej,jeh
lle,malelane
reu,reus
kut,kutaisi
avp,wilkes-barre/scranton pa
wkj,wakkanai
olf,wolf point mt
ici,cicia
lit,little rock ar
ssh,sharm el sheikh
lax,los angeles
haj,hanover
bql,boulia
zwl,wollaston lake sk
bgx,bage rs
vli,port vila
pzo,puerto ordaz
cfr,caen
ptj,portland
pwm,portland
yqq,comox bc
mth,marathon fl
pow,portoroz
kim,kimberley
npt,newport
nup,nunapitchuk
evh,evans head
fms,fort madison ia
aer,adler sochi
etb,west bend
pav,paulo afonso
vds,vadso
ygo,gods narrows mb
ucy,union city
lxa,lhasa
aiz,lake of the ozarks mo
ane,angers
qxg,angers
isn,williston nd
hfs,hagfors
agc,pittsburgh pa
pit,pittsburgh pa
tmj,termez
lsi,shetland islands
maj,majuro
ktf,takaka
mkl,jackson tn
bfi,seattle
tlh,tallahassee fl
psa,pisa
hrl,harlingen tx
flw,flores island
jhb,johor bahru
hum,houma la
sxb,strasbourg
xer,strasbourg
fld,fond du lac
klo,kalibo
kaj,kajaani
meb,melbourne
mel,melbourne
mlb,melbourne
smi,samos
nql,niquelandia go
dar,dar es salaam
flg,flagstaff az
lgi,deadman's cay
axp,spring point
opo,porto
suj,satu mare
rsg,serra pelada pa
rex,reynosa
phw,phalaborwa
gto,nonouti
fsi,fort sill
bym,bayamo
sff,spokane wa
geg,spokane wa
frb,forbes
bhh,bisha
dlg,dillingham ak
gpa,patras
hrz,horizontina rs
vis,visalia ca
heh,heho
vdb,fagernes
air,aripuana mt
glt,gladstone
luk,cincinnati oh
cvg,cincinnati oh
pgd,punta gorda fl
gla,glasgow sc
biy,bisho
piu,piura
bsb,brasilia
esd,east sound wa
omo,mostar
wew,wee waa
ody,oudomxay
yvm,qikiqtarjuaq nt
ciw,canouan island
dvn,davenport
gul,goulburn
rhg,ruhengeri
ekn,elkins wv
cmy,sparta
yng,youngstown oh
vxe,sao vicente
cgp,chittagong
orf,norfolk newport news va
uly,simbirsk
rzz,roanoke rapids nc
mba,mombasa
asx,ashland
ntm,miracema do norte
asb,assab
mrz,moree
daa,fort belvoir
yte,cape dorset nt
hbx,hubli
ghb,governor s harbour
jiw,jiwani
abm,cape york
ygt,igloolik
jbr,jonesboro ar
sms,ste. marie
kqa,akutan ak
neg,negril
lse,la crosse wi
mbs,saginaw mi
dic,dili
dil,dili
hgh,hangzhou
ths,sukhothai
cly,calvi
ost,ostende
gon,new london ct
dnv,danville il
pyh,puerto ayacucho
nvt,navegantes
yfc,fredericton
pqi,presque isle me
kpd,king of prussia pa
hor,horta
lcc,lecce
yop,rainbow lake ab
yhi,holman victoria island nt
gud,goundam
tke,tenakee springs ak
wjf,lancaster ca
otg,worthington mn
grz,graz
aor,alor setar
maf,midland tx
bvr,brava
pdc,mueo
sjt,san angelo tx
hob,hobbs nm
hbb,hobbs nm
pky,palangkaraya
ycr,cross lake mb
hnm,hana hi
alw,walla walla
shx,shageluk
viv,vivigani
ysp,marathon on
zao,cahors
fnj,pyongyang
azn,neuquen
nqn,neuquen
kbk,klag bay
hpt,hampton
atd,atoifi
nul,nulato
kyk,karluk
int,winston-salem nc
frj,frejus
vde,valverde
ymg,manitouwadge on
tbu,nuku alofa
tca,tennant creek
ktn,ketchikan ak
mgc,michigan city in
emk,emmonak
lfk,lufkin tx
abf,abaiang
jna,januaria mg
tho,thorshofn
azb,amazon bay
dou,dourados
qab,brusque
eri,erie pa
crk,clark field
eat,wenatchee wa
bfd,bradford pa
sjc,san jose ca
nuq,san jose ca
taz,dashhowuz
wam,ambatondrazaka
pri,praslin island
nwi,norwich
lyp,faisalabad
mfn,milford sound
tgt,tanga
raj,rajkot
ark,rajkot
pqc,phu quoc
ygp,gaspe qc
bat,barretos
ilb,ilha solteira ms
wmh,mountain home ar
mhq,mariehamn
ckx,chicken ak
nnl,nondalton ak
pqi,presque isle
rnn,bornholm
cho,charlottesville
rvr,green river ut
hne,tahneta pass lodge
ght,ghat
nqy,newquay
orq,norwalk ct
tpe,taipei
tsa,taipei
dab,daytona beach
kib,ivanof bay
pdt,pendleton or
ntn,normanton
mxt,maintirano
dhn,dothan
awd,aniwa
mku,makokou
dbv,dubrovnik
apo,apartado
atw,appleton wi
elk,elk city ok
orb,orebro bofors
nla,n'dola
irj,la rioja
ltr,letterkenny
mzv,mulu
yqm,moncton
eed,needles
bjc,broomfield co
yea,edmonton ab
yxd,edmonton ab
yed,edmonton ab
yeg,edmonton ab
spw,spencer
rch,riohacha
pln,pellston mi
aza,mesa
vrc,virac
yxp,pangnirtung baffin island nt
cli,clintonville
dse,dessie
ogn,yonaguni jima
aif,assis
jac,jackson wy
bsk,biskra
atl,atlanta ga
pdk,atlanta ga
jao,atlanta ga
jaj,atlanta ga
fty,atlanta ga
sdv,tel aviv
tlv,tel aviv
mhk,manhattan ks
skg,thessaloniki
kun,kuanas
boc,bocas del toro
mpb,bocas del toro
bfp,beaver falls pa
udd,palm desert ca
ygk,kingston on
pux,puerto varas
yul,montreal
axn,alexandria mn
gxy,greeley
wun,wiluna
lkr,las koreh
ccb,upland ca
eda,edna bay
mlb,melbourne fl
yva,moroni
bko,bamako
dad,da nang
kzb,zachar bay
kir,kerry county
aoc,altenburg
ida,idaho falls
ydq,dawson creek bc
ecn,ercan
zfn,fort norman nt
mtg,mato grosso mt
roa,roanoke va
uel,quelimane
oea,vincennes
bds,brindisi
bji,bemidji mn
bsr,basra
mtt,minatitlan
evg,sveg
ras,rasht
oth,north bend or
yao,yaounde
nsi,yaounde
gcn,grand canyon az
fdf,ft de france
pig,pitinga am
fat,fresno
mbd,mmabatho
cdh,camden ar
aep,buenos aires
eze,buenos aires
bue,buenos aires
kxf,koro island
cjj,cheongju
kmj,kumamoto
der,derim
btt,bettles
iwj,iwami
mis,misima
jbr,jonesboro
aqm,ariquemes ro
uas,samburu
elc,elcho island n.t
est,estherville
ymj,regina sk
yqr,regina sk
per,perth
yyd,smithers bc
rdz,rodez
tmb,miami
mia,miami
opf,miami
ous,ourinhos sp
xse,sebba
qrr,warren
lub,lumid pau
lig,limoges
kyx,yalumet
pus,pusan
put,pusan
maa,madras
mdj,madras
gai,gaithersburg md
lan,lansing mi
dno,dianopolis to
yoc,old crow yt
gns,gunungsitoli
ofk,norfolk ne
cbx,condobolin
kdd,khuzdar
btl,battle creek mi
mfu,mfuwe
zsw,prince rupert bc
ypr,prince rupert bc
irk,kirksville mo
ngb,ningbo
rnh,new richmond
pro,perry
lia,liangping
lpc,santa maria ca
smx,santa maria ca
mzm,metz
clj,cluj-napoca
bhm,birmingham al
sdq,santo domingo
std,santo domingo
mow,moscow
vko,moscow
dme,moscow
bka,moscow
svo,moscow
sjl,sao gabriel am
mtw,manitowoc wi
gfe,grenfell
ony,olney
sei,senhor do bonfim
orb,orebro
etz,metz nancy
ria,santa maria
sma,santa maria
smx,santa maria
tuz,tucuma
tgn,traralgon
obd,obano
jhm,kapalua hi
wga,wagga wagga
plz,port elizabeth
tmt,porto trombetas
rvn,rovaniemi
kgi,kalgoorlie
wna,napakiak
sno,sakon nakhon
zad,zadar
knh,kinmen
ppo,powell point
lkn,leknes
lnr,lone rock
ljn,lake jackson tx
sye,sadah
rgl,rio gallegos
ler,leinster
yut,repulse bay melville peninsu nt
kwf,waterfall ak
uin,quincy il
arr,alto rio senguerr
alp,aleppo
gua,guatemala city
ozz,ourzazate
pns,pensacola
hky,hickory nc
rba,rabat
vdi,vidalia
mes,medan
thv,york pa
ags,augusta
aok,karpathos
cog,condoto
mlc,mcalester ok
nng,nanning
bce,bryce ut
yka,kamloops
yer,fort severn on
xsp,singapore
sin,singapore
ygh,fort good hope nt
cko,cornelio procopio pr
agl,wanigela
glv,golovin ak
trc,torreon
aky,kayes
ykg,kangirsuk qc
ypl,pickle lake on
drb,derby
mjt,mytilene
fln,florianopolis
tis,thursday island
sog,sogndal
bch,baucau
cbf,council bluffs
rut,rutland vt
hka,blytheville ar
yiw,yiwu
twa,twin hills ak
zph,zephyrhills
mkh,mokhotlong
sll,salalah
rkp,rockport
hus,hughes ak
gdn,gdansk
wol,wollongong
ycl,charlo
mbj,montego bay
egv,eagle river
ycb,cambridge bay nt
tod,tioman
cju,cheju
maz,mayaguez pr
cdu,camden
cpu,cururupu
voi,voinjama
tyf,torsby
mli,moline
sid,sal
clp,clarks point ak
suv,suva
pbb,paranaiba
soc,solo
sbp,san luis obispo ca
csl,san luis obispo ca
tmm,tamatave
slh,sola
ckg,chongqing
ddm,dodoima
wex,wexford
nok,nova xavantina mt
rtm,rotterdam
art,watertown
aty,watertown
sbs,steamboat springs co
mme,teesside
hvn,new haven ct
zve,new haven ct
ajl,aizawl
amq,ambon
ltn,luton
kow,ganzhou
yck,colville nt
scx,salina cruz
frs,flores
gry,grimsey
ych,chatham nb
nal,nal'chik
cjl,chitral
yag,fort frances on
iqt,iquitos
jxn,jackson mi
vxo,vaxjo
toj,madrid
mad,madrid
hks,jackson ms
jan,jackson ms
dla,douala
yyn,swift current sk
kuf,samara
ycy,clyde river
cfe,clermont ferrand
ioa,ioannina
arh,arkhangelsk
kdi,kendari
pei,pereira
byw,blakely island ga
noz,novokuznetsk
riw,riverton wy
mat,matadi
sht,shepparton
lns,lancaster pa
irb,iraan
rvd,rio verde
yxp,pangnirtung
ygx,gillam mb
mjn,majunga
pid,nassau
nas,nassau
wzy,nassau
phj,port hunter
vhn,van horn
snu,santa clara
lim,lima
icy,icy bay
eba,elba island
kek,ekwok ak
upg,ujung pandang
yyh,taloyoak
kya,konya
ipu,ipiau
lep,leopoldina mg
msg,matsaile
rdg,reading pa
ybv,berens river mb
tgd,podgorica
ixa,agartala
moz,moorea
lad,luanda
kns,king island
tgg,kuala terengganu
lab,lablab
urt,surat thani
poh,pocahontas
cvj,cuernavaca
yow,ottawa on
atn,namatanai
qrm,narromine
bun,buenaventura
yih,yichang
bth,batam
her,heraklion
btv,burlington
rkt,ra's al khaymah
oal,cacoal mt
bxu,butuan
zfv,philadelphia pa
phl,philadelphia pa
yyr,goose bay nf
gjm,guajara mirim ro
mgv,margaret river
pka,napaskiak
zwa,andapa
xnn,xining
yvq,norman wells nt
hvg,honningsvag
kme,kamembe
kke,kerikeri
znz,zanzibar
utr,uttaradit
pib,laurel ms
crb,collarenebri
pen,penang
vog,volgograd
ysg,snowdrift nt
dcm,castres
bog,bogota
cfc,cacador sc
clo,cali
lpi,linkoping
tlz,catalao
fdk,frederick md
mpm,maputo
bkx,brookings sd
lpy,le puy
lcb,pontes e lacerda
pyj,polyarnyj
xcm,chatham on
stb,santa barbara
tmc,tambolaka
lif,lifou
gsy,grimsby
pke,parkes
hme,hassi messaoud
stm,santarem
pmr,palmerston
prc,prescott az
psp,palm springs ca
sfb,sanford
blf,bluefield wv
rcu,rio cuarto
ajf,jouf
afn,jaffrey
kwj,gwangju
pvw,plainview tx
pkr,pokhara
tru,trujillo
ack,nantucket ma
usn,ulsan
uni,union island
lli,lalibela
nnb,santa ana
clv,caldas novas go
gmp,seoul
icn,seoul
sel,seoul
kwk,kwigillingok ak
nus,norsup
bqu,bequia
rby,ruby ak
aul,aur atoll
ztb,tete-a-la-baleine on
ovb,novosibirsk
ydp,nain nf
sjp,sao jose do rio preto
ypm,pikangikum on
tdw,amarillo tx
ama,amarillo tx
mko,muskogee ok
trl,terrell tx
avp,scranton pa
bdc,barra do corda
mah,menorca
wge,walgett
lgx,lugh ganane
sfa,sfax
zwe,antwerp
anr,antwerp
fca,kalispell mt
jim,jimma
ytj,terrace bay on
mnr,maroantsetra
wmn,maroantsetra
luv,langqur
rez,resende rj
usu,busuanga
afl,alta floresta
dlc,dalian
hut,hutchinson
krw,krasnodovsk
lst,launceston
elp,el paso tx
bif,el paso tx
msp,minneapolis mn
qdu,duesseldorf
xyd,lyon
lys,lyon
mop,mount pleasant mi
itq,itaqui rs
gop,gorakhpur
knw,new stuyahok ak
shr,sheridan wy
hvr,havre mt
rap,rapid city sd
lse,la crosse
lwc,lawrence ks
lbf,north platte ne
oel,orel
mte,monte alegre pa
cln,carolina ma
zrj,round lake on
vgo,vigo
ios,ilheus
ifo,ivano frankovsk
jck,julia creek
amh,arba mintch
cjs,ciudad juarez
djn,delta junction ak
brb,barreirinhas ma
dlf,del rio
drt,del rio
mhe,mitchell sd
nic,nicosia
hre,harare
frc,franca
msp,minneapolis
inn,innsbruck
kun,kaunas
wkk,aleknagik ak
cpc,chapelco
bgv,bento goncalves rs
alm,alamogordo nm
alg,algiers
sln,salina
wea,weatherford tx
nto,santo antao
rlg,rostock laage
ipt,williamsport pa
soo,soderhamn
mto,mattoon il
lwm,lawrence ma
mkr,meekathara
ypj,aupaluk bc
umy,sumy
jog,yogyakarta
thg,thangool
tdv,tanandava
mzh,merzifon
atk,atqasuk ak
idg,ida grove
bya,boundary ak
nub,numbulwar
agf,agen
nsb,bimini
bim,bimini
ykt,klemtu bc
gfd,greenfield in
sfv,santa fe do sul
lnv,londolovit
saa,laramie wy
lar,laramie wy
cle,cleveland
gyp,gympie
bgk,big creek
crv,crotone
bhu,bhavnagar
vct,victoria
yyj,victoria
avv,victoria
cme,ciudad del carmen
kay,wakaya island
abl,ambler ak
lpl,liverpool
obe,okeechobee fl
ukt,quakertown
ule,sule
orn,oran
dcu,decatur al
kej,kemerovo
mie,muncie in
via,videira sc
cqs,costa marques ro
yik,ivujivik
boo,bodo
yrb,resolute bay cornwallis isla nt
nty,sun city
sra,santa rosa rs
vys,peru il
mag,madang
yib,atikokan on
kbc,birch creek ak
jnb,johannesburg
gcj,johannesburg
rby,ruby
baz,barbelos
lbb,lubbock
hma,khanty mansiysk
rec,recife
ckz,canakkale
xkh,xiangkhoang
eib,ibiza
ibz,ibiza
utk,utirik
pox,pontoise
ndb,nouadhibou
cbf,council bluffs ia
aar,aarhus
jcr,jacareacanga
dby,dalby
kij,niigata
uio,quito
vca,can tho
zem,east main qc
tyr,tyler
mds,middle caicos
sva,savoonga ak
ypc,paulatuk nt
mfg,muzaffarabad
sla,salta
tse,astana aqmoba tselinograd
cwi,clinton ia
whl,welshpool
gad,gadsden al
fte,el calafate santa cruz
lvs,las vegas nm
kab,kariba dam
dli,dalat
lpa,gran canaria
mgf,maringa
cks,carajas
mqf,magnitogorsk
ysn,salmon arm bc
anf,antofagasta
ksi,kissidougou
urs,kursk
agh,angelholm
kaa,kasama
sxp,sheldon point ak
wta,tambohorano
vgt,las vegas nv
las,las vegas nv
bgf,bangui
jsy,syros island
mzl,manizales
lla,lulea
txn,tunxi
cdc,cedar city ut
hop,hopkinsville ky
prg,prague
kmu,kismayu
uje,ujae island
sfq,sanliurfa
csq,creston
skn,stokmarknes
bvm,belmonte ba
mzi,mopti
lmn,limbang
wwt,newtok ak
bmv,ban me thuot
mry,monterey ca
lcr,la chorrera
vby,visby
cgo,zhengzhou
lrm,la romana
tip,tripoli
new,new orleans la
msy,new orleans la
meu,monte dourado pa
xks,kasabonika on
xga,gaoua
bdm,bandirma
eri,erie
mue,kamuela hi
fmn,farmington nm
ykf,kitchener on
tml,tamale
oes,san antonio oeste
ygb,gilles bay bc
jcr,jacareacanga pa
wnn,wunnummin lake on
yxt,terrace bc
ccc,cayo coco
kac,kameshli
rsu,yeosu
lka,larantuka
tlt,tuluksak ak
kbz,kaikoura
run,reunion island
mhx,manihiki island
aus,austin tx
kgs,kos
zjn,swan river mb
son,luganville espiritu santo is
cyp,calbayog
qbw,batemans bay
cal,campbeltown
jtc,bauru-arealva
ozh,zaporozhye
bqq,barra
brr,barra
kvg,kavieng
bbk,kasane
ngi,ngau island
mfh,mesquite nv
pbx,porto alegre do norte
ivr,inverell
lpd,la pedrera
fay,fayetteville
fym,fayetteville
zzv,zanesville
lyu,ely mn
vai,vanimo
gxq,coyhaique
nso,scone
sjk,sao jose dos campos
vse,viseu
tgq,tangara de serra mt
mxz,meixian
bvb,bos vista
jvl,janesville
lzc,lazaro cardenas michoacan
hnh,hoonah ak
sun,sun valley
sha,shanghai
pvg,shanghai
gqq,galion oh
myg,mayaguana
akd,akola
dec,decatur il
btl,battle creek
wro,wroclaw
ilb,ilha solteira
bax,barnaul
ptp,pointe a pitre
cwa,wausau wi
auw,wausau wi
ask,yamoussouro
mco,orlando fl
orl,orlando fl
uba,uberaba
lpm,lamap
frc,franca sp
yab,arctic bay nt
mtl,maitland
bhi,bahia blanca
man,manchester
csm,clinton ok
clk,clinton ok
tuo,taupo
kos,sihanoukville
ccq,cachoeira ba
mtv,mota lava
pur,puerto rico
smr,santa marta
iti,itambacuri
wak,ankazoabo
arm,armidale
dlm,dalaman
vpn,vopnafjordur
mtf,mizan-teferi
vls,valesdir
msa,muskrat dam on
lkb,lakeba
lei,almeria
pvk,preveza
yqg,windsor on
okc,oklahoma city
ycy,clyde river nt
ttj,tottori
urb,urubupunga sp
foc,fuzhou
uai,suai
ewr,newark nj
aby,albany ga
xgr,kangiqsualujjuaq qc
ttu,tetouan (tetuan)
uib,quibdo
cns,cairns
cgy,cagayan de oro
hrk,kharkov
ira,kirakira
som,san tome
alh,albany
aby,albany
alb,albany
lua,lukla
meu,monte dourado
iks,tiksi
udn,udine
kbm,kabwum
hid,horn island
bga,bucaramanga
kja,krasnoyarsk
ksf,kassel
tcg,trabzon
tzx,trabzon
lsc,la serena
tmw,tamworth
yho,hopedale nf
bud,budapest
dha,dhahran
edr,dhahran
cbe,cumberland md
yzv,sept iles qc
ncs,newcastle
ncl,newcastle
beo,newcastle
ntl,newcastle
icl,clarinda
noc,connaught
pbb,paranaiba ms
ske,skien
hir,honiara
bsc,bahia solano
bdl,hartford ct
hfd,hartford ct
hzg,hanzhong
sby,salisbury md
poo,pocos de caldas mg
fob,fort bragg
fbg,fort bragg
geg,spokane
wxn,wanxian
ech,echuca
