source-city,target-zip code
LA MIRADA,90638
West Point,10997
La Mirada,90639
WESTTOWN,10998
NINDE,22526
Boston,2108
La Mirada,90637
Boston,2109
Warwick,10990
Washingtonville,10992
Montross,22520
West Haverstraw,10993
WEST NYACK,10994
West Point,10996
MONTEBELLO,90640
MILFORD,22514
LA PALMA,90623
Buena Park,90624
LOTTSBURG,22511
Doniphan,63935
Dudley,63936
Campbell,63933
Clubb,63934
Briar,63931
Broseley,63932
La Habra,90631
CYPRESS,90630
Boston,2128
Boston,2127
Simms,75574
LANEVIEW,22504
Charlestown,2129
Bella Vista,96008
QUEEN CITY,75572
Dorchester Center,2124
Anderson,96007
LORETTO,22509
Adin,96006
New Boston,75570
Locust Grove,22508
Mattapan,2126
Dorchester,2125
Redding,96003
Redding,96002
Redding,96001
LADYSMITH,22501
Poplar Bluff,63901
Poplar Bluff,63902
PICO RIVERA,90660
DORCHESTER,2122
Linden,75563
Roxbury,2119
Boston,2118
BOSTON,2117
Boston,2116
Boston,2115
Boston,2114
Hooks,75561
Boston,2113
Maud,75567
NAPLES,75568
Nash,75569
Boston,2110
NORWALK,90650
Boston,2111
Cincinnati,45208
Champaign,61820
Williamsville,63967
Cincinnati,45207
Wappapello,63966
Cincinnati,45209
Monroe,10950
CHAMPAIGN,61824
Shook,63963
BOGUE CHITTO,39629
Rombauer,63962
Monsey,10952
Champaign,61822
Van Buren,63965
Champaign,61821
Silva,63964
NANUET,10954
Mountainville,10953
New City,10956
Cincinnati,45202
Qulin,63961
Cincinnati,45201
Puxico,63960
New Hampton,10958
Cincinnati,45204
Cincinnati,45203
Cincinnati,45206
NEW MILFORD,10959
Cincinnati,45205
Broadlands,61816
Catlin,61817
Bismarck,61814
BONDVILLE,61815
Cerro Gordo,61818
CROSBY,39633
Fernwood,39635
Cincinnati,45219
COLLISON,61831
Cincinnati,45218
CISCO,61830
Otisville,10963
Tilton,61833
ORANGEBURG,10962
GLOSTER,39638
Danville,61832
Nyack,10960
Danville,61834
Cincinnati,45213
Cincinnati,45212
Pearl River,10965
Cincinnati,45211
Palisades,10964
Cincinnati,45217
Cincinnati,45216
PINE ISLAND,10969
Cincinnati,45215
Piermont,10968
Cincinnati,45214
Champaign,61826
Bude,39630
CHATAWA,39632
CENTREVILLE,39631
Urbana,61802
Fremont,63941
Urbana,61801
Fisk,63940
Sloatsburg,10974
Grandin,63943
SLATE HILL,10973
Gatewood,63942
Brookhaven,39602
Harviell,63945
BROOKHAVEN,39603
Cincinnati,45229
Greenville,63944
Pomona,10970
Brookhaven,39601
Cincinnati,45226
STERLING FOREST,10979
Cincinnati,45225
Cincinnati,45228
Cincinnati,45227
SPARKILL,10976
CINCINNATI,45222
SOUTHFIELDS,10975
Cincinnati,45221
Cincinnati,45224
Spring Valley,10977
Cincinnati,45223
Cincinnati,45220
BUENA PARK,90620
BUENA PARK,90621
Buena Park,90622
Ellsinore,63937
Fagus,63938
Fairdealing,63939
THOMPSON RIDGE,10985
Alvin,61811
Neelyville,63954
Thiells,10984
Allerton,61810
Naylor,63953
Tappan,10983
Bement,61813
Mill Spring,63952
TALLMAN,10982
Armstrong,61812
Lowndes,63951
SUGAR LOAF,10981
STONY POINT,10980
Piedmont,63957
Patterson,63956
Oxly,63955
Whittier,90604
Cincinnati,45239
WHITTIER,90603
Cincinnati,45238
WHITTIER,90602
Cincinnati,45237
WHITTIER,90601
Cincinnati,45236
Whittier,90608
Valley Cottage,10989
Cincinnati,45235
Lodi,63950
Whittier,90607
UNIONVILLE,10988
Cincinnati,45234
WHITTIER,90606
Tuxedo Park,10987
Cincinnati,45233
WHITTIER,90605
Tomkins Cove,10986
Cincinnati,45232
Cincinnati,45230
Cincinnati,45231
Urbana,61803
ROXIE,39661
RUTH,39662
Stoneham,2180
Silver Creek,39663
SMITHDALE,39664
SONTAG,39665
Braintree,2184
Weymouth,2188
Braintree,2185
Milton,2186
East Weymouth,2189
Meridianville,35759
Madison,35758
Madison,35757
TYLERTOWN,39667
Madison,35756
Summit,39666
Langston,35755
Woodville,39669
Laceys Spring,35754
UNION CHURCH,39668
HOLLYWOOD,35752
HOLLYTREE,35751
Hazel Green,35750
Quincy,2170
Quincy,2171
MELROSE,2176
Gurley,35748
Grant,35747
Harvest,35749
DUTTON,35744
Fackler,35746
ESTILLFORK,35745
Bridgeport,35740
Capshaw,35742
Brownsboro,35741
JAYESS,39641
KOKOMO,39643
Woodford,22580
ARDMORE,35739
Mccomb,39649
MCCOMB,39648
LIBERTY,39645
Mc Call Creek,39647
Meadville,39653
Monticello,39654
South Weymouth,2190
North Weymouth,2191
MAGNOLIA,39652
Boston,2199
WICOMICO CHURCH,22579
OSYKA,39657
OAK VALE,39656
Cambridge,2140
Somerville,2144
Somerville,2143
Cambridge,2142
Cambridge,2141
Stanton,90680
TAPPAHANNOCK,22560
Unionville,22567
Malden,2148
Somerville,2145
Everett,2149
SANTA FE SPRINGS,90670
Roslindale,2131
Jamaica Plain,2130
West Roxbury,2132
Stafford,22556
Omaha,68102
OMAHA,68101
Stafford,22554
Omaha,68104
OMAHA,68103
SPARTA,22552
Omaha,68106
Spotsylvania,22553
OMAHA,68105
Omaha,68108
Spotsylvania,22551
Omaha,68107
Allston,2134
Brighton,2135
OMAHA,68109
Hyde Park,2136
Readville,2137
Cambridge,2138
Cambridge,2139
Boston,2163
SECTION,35771
TRENTON,35774
Valhermoso Springs,35775
STEVENSON,35772
Toney,35773
Rhoadesville,22542
ROLLINS FORK,22544
Woodville,35776
Ruther Glen,22546
SEALSTON,22547
Quincy,2169
Winthrop,2152
MEDFORD,2155
Revere,2151
Chelsea,2150
New Hope,35760
New Market,35761
OPHELIA,22530
NORMAL,35762
Owens Cross Roads,35763
PAINT ROCK,35764
PISGAH,35765
Partlow,22534
PRINCETON,35766
Port Royal,22535
Ryland,35767
Scottsboro,35768
Scottsboro,35769
RAPPAHANNOCK ACADEMY,22538
REEDVILLE,22539
SAVANNAH,31421
Savannah,31420
Yoder,82244
Torrington,82240
Van Tassell,82242
Gretna,68028
Veteran,82243
HERMAN,68029
FREMONT,68026
FREMONT,68025
Fort Calhoun,68023
Elkhorn,68022
DECATUR,68020
CERESCO,68017
Colon,68018
CRAIG,68019
Bruno,68014
Cedar Bluffs,68015
CEDAR CREEK,68016
BOYS TOWN,68010
Lance Creek,82222
Lingle,82223
Lost Springs,82224
Lusk,82225
Savannah,31401
Manville,82227
Shawnee,82229
Savannah,31405
BANCROFT,68004
Savannah,31404
Bellevue,68005
SAVANNAH,31403
WOLFE,24751
Arlington,68002
Savannah,31402
Ashland,68003
SAVANNAH,31409
Blair,68008
SAVANNAH,31408
BLAIR,68009
SAVANNAH,31407
Lagrange,82221
Savannah,31406
Bennington,68007
ABIE,68001
Jay Em,82219
Glendo,82213
Guernsey,82214
Fort Laramie,82212
Hawk Springs,82217
Savannah,31410
Huntley,82218
Hartville,82215
Savannah,31412
Savannah,31411
SAVANNAH,31414
Savannah,31416
San Angelo,76901
Savannah,31415
San Angelo,76902
SAVANNAH,31418
Chugwater,82210
San Angelo,76903
SAN ANGELO,76904
San Angelo,76905
Savannah,31419
KELLYSVILLE,24732
Lashmeet,24733
Whitmore,96096
YREKA,96097
Kegley,24731
WATERLOO,68069
WASHINGTON,68068
Wheatland,82201
Nemours,24738
Matoaka,24736
Montcalm,24737
Weaverville,96093
Wahoo,68066
Vina,96092
Walthill,68067
Whiskeytown,96095
Valley,68064
Weed,96094
Valparaiso,68065
THURSTON,68062
UEHLING,68063
Trinity Center,96091
Tehama,96090
TEKAMAH,68061
SOUTH BEND,68058
Princeton,24740
SCRIBNER,68057
Springfield,68059
Rock,24747
ROSALIE,68055
ST COLUMBANS,68056
Prague,68050
Plattsmouth,68048
PENDER,68047
Papillion,68046
Athens,24712
Bud,24716
Beeson,24714
Bramwell,24715
Covel,24719
Malmo,68040
Mead,68041
NICKERSON,68044
Oakland,68045
MEMPHIS,68042
Linwood,68036
Lyons,68038
Louisville,68037
MACY,68039
Freeman,24724
Herndon,24726
HIAWATHA,24729
HOMER,68030
Hooper,68031
ITHACA,68033
KENNARD,68034
Lakehead,96051
Kenney,61749
Hudson,61748
HAMERSVILLE,45130
Highland,45132
HIGGINSPORT,45131
CHESTER,10918
CENTRAL VALLEY,10917
CIRCLEVILLE,10919
GOSHEN,10924
GREENWOOD LAKE,10925
Chattanooga,37419
LEES CREEK,45138
HARRIMAN,10926
Haverstraw,10927
Congers,10920
Hillsboro,45133
Florida,10921
FORT MONTGOMERY,10922
Leesburg,45135
Garnerville,10923
Manton,96059
Chattanooga,37412
Chattanooga,37411
Merna,61758
Mccloud,96057
Chattanooga,37414
Mackinaw,61755
MCARTHUR,96056
Maroa,61756
Los Molinos,96055
Texarkana,75503
Chattanooga,37416
Lexington,61753
Lookout,96054
Texarkana,75504
Chattanooga,37415
Texarkana,75501
LAWNDALE,61751
Lewiston,96052
Le Roy,61752
Mill Creek,96061
Millville,96062
El Paso,61738
Ellsworth,61737
Fairbury,61739
GEORGETOWN,45121
FELICITY,45120
BULLVILLE,10915
Campbell Hall,10916
Blauvelt,10913
Blooming Grove,10914
Chattanooga,37408
Bear Mountain,10911
BELLVALE,10912
GOSHEN,45122
Arden,10910
Greenfield,45123
Nubieber,96068
Chattanooga,37403
Gridley,61744
Mount Shasta,96067
Chattanooga,37402
Bluefield,24701
Heyworth,61745
Chattanooga,37401
Oak Run,96069
Hopedale,61747
Montague,96064
Chattanooga,37407
FLANAGAN,61740
Mineral,96063
CHATTANOOGA,37406
Forrest,61741
Chattanooga,37405
Goodfield,61742
Montgomery Creek,96065
Chattanooga,37404
GRAYMONT,61743
Congerville,61729
Colfax,61728
Clinton,61727
Chenoa,61726
Palo Cedro,96073
Old Station,96071
MILFORD,45150
MORROW,45152
MOUNT ORAB,45154
MOSCOW,45153
Mowrystown,45155
MIDDLETOWN,10943
NEVILLE,45156
New Richmond,45157
NEWTONSVILLE,45158
New Vienna,45159
MONROE,10949
Cropsey,61731
Platina,96076
Danvers,61732
Paynes Creek,96075
Paskenta,96074
Cooksville,61730
DEWITT,61735
Downs,61736
MIDDLETOWN,10940
Deer Creek,61733
PROBERTA,96078
MIDDLETOWN,10941
Delavan,61734
Yutan,68073
WINSLOW,68072
RED BLUFF,96080
Winnebago,68071
Round Mountain,96084
Highland Falls,10928
Weston,68070
LYNCHBURG,45142
Loveland,45140
JOHNSON,10933
MARTINSVILLE,45146
Miamiville,45147
HILLBURN,10931
MANCHESTER,45144
HOWELLS,10932
MARATHON,45145
MIDLAND,45148
Shingletown,96088
Anchor,61720
Shasta,96087
ARMINGTON,61721
Arrowsmith,61722
HIGHLAND MILLS,10930
Atlanta,61723
Bellflower,61724
Carlock,61725
Terrace Park,45174
WILLIAMSBURG,45176
SARDINIA,45171
Sinking Spring,45172
Chattanooga,37450
Callahan,96014
Canby,96015
Wall,76957
Burney,96013
Big Bar,96010
Big Bend,96011
Tennyson,76953
Vancourt,76955
Sonora,76950
Sterling City,76951
Shasta Lake,96019
Wilmington,45177
Cassel,96016
Castella,96017
PORT WILLIAM,45164
PLEASANT PLAIN,45162
OWENSVILLE,45160
Dorris,96023
Douglas City,96024
Dunsmuir,96025
BLOOMBURG,75556
Corning,96021
De Kalb,75559
COTTONWOOD,96022
Bivins,75555
Avery,75554
Etna,96027
Sabina,45169
Fall River Mills,96028
RUSSELLVILLE,45168
Atlanta,75551
RIPLEY,45167
ANNONA,75550
REESVILLE,45166
Fort Jones,96032
BIG LAKE,76932
Towanda,61776
French Gulch,96033
Strawn,61775
Sibley,61773
Eldorado,76936
Christoval,76935
Gazelle,96034
Gerber,96035
Eola,76937
Wapella,61777
Grenada,96038
SUFFERN,10901
Happy Camp,96039
Shirley,61772
Secor,61771
Saybrook,61770
Chattanooga,37421
Minier,61759
Hat Creek,96040
Hayfork,96041
ROBERT LEE,76945
Ozona,76943
Hornbrook,96044
Pontiac,61764
Chattanooga,37424
Hyampom,96046
Igo,96047
Chattanooga,37422
Saunemin,61769
Junction City,96048
Redding,96049
Mereta,76940
NORMAL,61761
Minonk,61760
SIERRA CITY,96125
Portola,96122
Markleeville,96120
WHITE OAK,75693
SUSANVILLE,96127
SIERRAVILLE,96126
Waskom,75692
Fort Bidwell,96112
FLORISTON,96111
Eagleville,96110
Overton,75684
Pittsburg,75686
Cambridge,2238
Likely,96116
Lake City,96115
Mount Enterprise,75681
Loyalton,96118
LITCHFIELD,96117
Ore City,75683
Columbus,39702
Columbus,39701
Fredericksburg,22401
Columbus,39705
Alturas,96101
Columbus,39704
Columbus,39703
Coleville,96107
Boston,2222
Cedarville,96104
Fredericksburg,22408
Fredericksburg,22407
Fredericksburg,22406
Doyle,96109
Fredericksburg,22405
Davis Creek,96108
COLUMBUS,39710
Arcola,61910
ARTHUR,61911
Ashmore,61912
Torrance,90508
Torrance,90509
TORRANCE,90506
Torrance,90507
Torrance,90504
TORRANCE,90505
TORRANCE,90502
Torrance,90503
Boston,2215
Torrance,90510
Boston,2210
Huntsville,35813
Huntsville,35814
Boston,2205
Huntsville,35815
BLANCHESTER,45107
Huntsville,35816
Bethel,45106
ABERDEEN,45101
Batavia,45103
Amelia,45102
Charleston,61920
Huntsville,35810
Huntsville,35811
Huntsville,35812
Camargo,61919
Brocton,61917
Atwood,61913
BETHANY,61914
TORRANCE,90501
Huntsville,35804
FAYETTEVILLE,45118
Huntsville,35805
Huntsville,35802
Huntsville,35803
DECATUR,45115
Huntsville,35808
CUBA,45114
Clarksville,45113
Huntsville,35806
CHILO,45112
Huntsville,35807
Camp Dennison,45111
ARTESIA,39736
Hume,61932
BELLEFONTAINE,39737
Humboldt,61931
BROOKSVILLE,39739
Kansas,61933
Huntsville,35801
Hindsboro,61930
Ackerman,39735
FEESBURG,45119
GAYS,61928
Hammond,61929
ABERDEEN,39730
Chrisman,61924
DALTON CITY,61925
BUFORD,45110
Johnson City,37602
FRENCH CAMP,39745
MURDOCK,61941
Hamilton,39746
Metcalf,61940
Johnson City,37604
CRAWFORD,39743
EUPORA,39744
Paris,61944
Kilmichael,39747
Oakland,61943
Johnson City,37601
Newman,61942
LOVINGTON,61937
Mattoon,61938
LA PLACE,61936
Cedarbluff,39741
Caledonia,39740
Huntsville,35824
Blountville,37617
Bluff City,37618
Johnson City,37615
Montpelier,39754
Afton,37616
PHEBA,39755
Prairie,39756
Sullivan,61951
Starkville,39759
Tuscola,61953
Villa Grove,61956
VERMILION,61955
REDMON,61949
MANTEE,39751
MABEN,39750
Mayhew,39753
MATHISTON,39752
Mississippi State,39762
Starkville,39760
STURGIS,39769
Steens,39766
STEWART,39767
South Boston,24592
SUTHERLIN,24594
WEIR,39772
West Point,39773
Walthall,39771
Scottsville,24590
DUNNSVILLE,22454
DOGUE,22451
WINGINA,24599
EDWARDSVILLE,22456
Virgilina,24598
WOODLAND,39776
JERSEY,22481
King George,22485
HUSTLE,22476
HEATHSVILLE,22473
Worland,82401
BOWLING GREEN,22427
JAVA,24565
KEELING,24566
HURT,24563
FOREST,24551
Evington,24550
GOODE,24556
GRETNA,24557
Gladstone,24553
Gladys,24554
NORWOOD,24581
Dahlgren,22448
Rustburg,24588
CORBIN,22446
RINGGOLD,24586
Scottsburg,24589
Colonial Beach,22443
LOWRY,24570
CENTER CROSS,22437
CHAMPLAIN,22438
MONROE,24574
CALLAO,22435
CARET,22436
Nathalie,24577
BURGESS,22432
North Tazewell,24630
Pocahontas,24635
Raven,24639
Pounding Mill,24637
Richlands,24641
Saratoga,82331
Sinclair,82334
Walcott,82335
Savery,82332
Wamsutter,82336
Medicine Bow,82329
New Brunswick,8989
New Brunswick,8988
Fleming,31309
Ellabell,31308
EDEN,31307
DARIEN,31305
Crescent,31304
Clyo,31303
Tazewell,24651
BLOOMINGDALE,31302
Allenhurst,31301
Meridian,31319
Brownwood,76804
MELDRIM,31318
Fort Stewart,31315
Fort Stewart,31314
Brownwood,76801
Ludowici,31316
Hinesville,31310
Hinesville,31313
GUYTON,31312
Midway,31320
Rawlins,82301
Riceboro,31323
Richmond Hill,31324
Pembroke,31321
Pooler,31322
SAPELO ISLAND,31327
Tybee Island,31328
Rincon,31326
Springfield,31329
New Brunswick,8933
Bluefield,24605
Townsend,31331
Walthourville,31333
Cedar Bluff,24609
Encampment,82325
Hanna,82327
Bairoil,82322
Baggs,82321
Elk Mountain,82324
Dixon,82323
Falls Mills,24613
Grundy,24614
Jeffrey City,82310
New Brunswick,8922
Harrison,45030
Hooven,45033
HARVEYSBURG,45032
Homer,61849
Henning,61848
Gifford,61847
LONDON,76854
LONGVIEW,75602
Longview,61852
LONGVIEW,75603
Mahomet,61853
MASON,76856
Indianola,61850
May,76857
Longview,75601
Ivesdale,61851
Longview,75606
Monticello,61856
MENARD,76859
Muncie,61857
Longview,75604
Mansfield,61854
Longview,75605
Kings Mills,45034
Lebanon,45036
Maineville,45039
Lometa,76853
Highland Park,8904
New Brunswick,8903
New Brunswick,8906
New Brunswick,8905
North Brunswick,8902
New Brunswick,8901
De Land,61839
Dewey,61840
Norton,76865
Fairmount,61841
Paint Rock,76866
Farmer City,61842
Fisher,61843
Fithian,61844
Pontotoc,76869
Foosland,61845
Georgetown,61846
HAMILTON,45025
HAMILTON,45026
Mullin,76864
Miles,76861
Millersview,76862
Hamilton,45011
Thomasboro,61878
Sidell,61876
Sidney,61877
Savoy,61874
San Saba,76877
Seymour,61875
Santa Anna,76878
Saint Joseph,61873
Rochelle,76872
Pelham,10803
RIDGE FARM,61870
New Rochelle,10804
Royal,61871
ROOSEVELT,76874
New Rochelle,10805
FAIRFIELD,45018
Rowena,76875
HAMILTON,45012
Hamilton,45013
NEW ROCHELLE,10801
Fairfield,45014
Richland Springs,76871
New Rochelle,10802
HAMILTON,45015
Ogden,61859
Oakwood,61858
Potomac,61865
Daingerfield,75638
Rantoul,61866
De Berry,75639
Carthage,75633
Penfield,61862
Pesotum,61863
Voss,76888
Philo,61864
Valley Spring,76885
Avinger,75630
TELEGRAPH,76883
Beckville,75631
Franklin,45005
Valera,76884
COLLEGE CORNER,45003
Talpa,76882
COLLINSVILLE,45004
Addyston,45001
Star,76880
Cleves,45002
South Lake Tahoe,96150
WEST ELKTON,45070
West Chester,45071
Gary,75643
Gladewater,75647
SOUTH LAKE TAHOE,96151
SOUTH LAKE TAHOE,96158
Truckee,96161
Ross,45061
SEVEN MILE,45062
SOUTH LEBANON,45065
Springboro,45066
